,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
shoe_name,Converse Chuck Taylor All Star High - Men Shoes,Nike Vapormax 2019 Utility - Men Shoes,Jordan Mars 270 - Men Shoes,adidas Superstar - Men Shoes,Nike Tuned 1 - Men Shoes,Champion Zone 93,Nike Air Force 1 Low,Nike Tuned 1,Nike Air Force 1 Mid,Adidas Stan Smith,Asics Gel Kayano,Reebok Superflex V2,Asics Gel Quantum Jcq 360,Nike Air Max Plus Deconstructed,Nike Legacy 312,Diadora Rebound Ace,Diadora Action,Diadora Game Low,Nike Spizike
shoe_link,https://www.footlocker.sg/en/p/converse-chuck-taylor-all-star-high-men-shoes-511?v=314550714704#!searchCategory=men/shoes,https://www.footlocker.sg/en/p/nike-vapormax-2019-utility-men-shoes-79049?v=314205429104#!searchCategory=men/shoes,https://www.footlocker.sg/en/p/jordan-mars-270-men-shoes-83216?v=314100315804#!searchCategory=men/shoes,https://www.footlocker.sg/en/p/adidas-superstar-men-shoes-440?v=314310423604#!searchCategory=men/shoes,https://www.footlocker.sg/en/p/nike-tuned-1-men-shoes-43961?v=314213360804#!searchCategory=men/shoes,https://www.footlocker.sg/en/p/champion-zone-93-men-shoes-48394?v=314108045304#!searchCategory=men/shoes,https://www.footlocker.sg/en/p/nike-air-force-1-low-men-shoes-46?v=314102443604#!searchCategory=men/shoes,https://www.footlocker.sg/en/p/nike-tuned-1-men-shoes-43961?v=314213361604#!searchCategory=men/shoes,https://www.footlocker.sg/en/p/nike-air-force-1-mid-men-shoes-49?v=314102442804#!searchCategory=men/shoes,https://www.footlocker.sg/en/p/adidas-stan-smith-men-shoes-435?v=314312323604#!searchCategory=men/shoes,https://www.footlocker.sg/en/p/asics-gel-kayano-5-36-men-shoes-89535?v=314208690504#!searchCategory=men/shoes,https://www.footlocker.sg/en/p/reebok-superflex-v2-men-shoes-5453?v=314208033804#!searchCategory=men/shoes,https://www.footlocker.sg/en/p/asics-gel-quantum-jcq-360-men-shoes-89534?v=314207075004#!searchCategory=men/shoes,https://www.footlocker.sg/en/p/nike-air-max-plus-deconstructed-men-shoes-88807?v=314208026204#!searchCategory=men/shoes,https://www.footlocker.sg/en/p/nike-legacy-312-men-shoes-78863?v=314100305904#!searchCategory=men/shoes,https://www.footlocker.sg/en/p/diadora-rebound-ace-men-shoes-49648?v=314311045604#!searchCategory=men/shoes,https://www.footlocker.sg/en/p/diadora-action-men-shoes-87833?v=314310937504#!searchCategory=men/shoes,https://www.footlocker.sg/en/p/diadora-game-low-men-shoes-43171?v=314311051404#!searchCategory=men/shoes,https://www.footlocker.sg/en/p/nike-spizike-men-shoes-78922?v=314100357004#!searchCategory=men/shoes
